A. P. OLIVEIRA;55225;outros
ADP3 TEELCOMUNICACOES LTDA;55222;outros
ADYL NET ACESSO A INTERNET LTDA;55176;outros
AEROTECH TELECOMUNICACOES LTDA;55127;outros
ALPHA;55173;outros
AMERICA NET LTDA;55106;outros
AMIGO TELECOMUNICACOES LTDA;55146;outros
AMPERNET TELECOMUNICACOES LTDA;55216;outros
AUE PROVEDOR DE INTERNET LTDA;55148;outros
AVA TELECOMUNICACOES LTDA;55205;outros
BBS OPTIONS;55149;outros
BCMG INTERNET LTDA;55232;outros
BMBB SERVICOS DE COMUNICACAO LTDA;55208;outros
BR GROUP TELECOMUNICACOES LTDA;55157;outros
BRASIL TELECOM FILIAL/AC;55114;oi
BRASIL TELECOM FILIAL/DF;55114;oi
BRASIL TELECOM FILIAL/GO;55114;oi
BRASIL TELECOM FILIAL/MS;55114;oi
BRASIL TELECOM FILIAL/MT;55114;oi
BRASIL TELECOM FILIAL/PR;55114;oi
BRASIL TELECOM FILIAL/RO;55114;oi
BRASIL TELECOM FILIAL/RS(CRT);55114;oi
BRASIL TELECOM FILIAL/RS(CTMR);55114;oi
BRASIL TELECOM FILIAL/SC;55114;oi
BRASIL TELECOM;55114;oi
BRASILFONE COMUNICACAO LTDA - ME;55231;outros
BT COMMUNICATIONS DO BRASIL LTDA;55147;outros
CABO SERVICOS DE TELECOMUNICACOES LTDA;55152;outros
CAMBRIDGE TELECOMUNICACOES LTDA;55150;outros
CARVALHAES INFORMATICA LTDA ME;55213;outros
CGB VoiP INFORMATICA E COMUNICACAO LTDA;55160;outros
CIA ITABIRANA DE TELECOMUNICACOES LTDA;55203;outros
CIA TELECOMUNICACOES DO BRASIL CENTRAL;55112;algar
CITTA TELECOM LTDA;55223;outros
CONECTA TELECOMUNICACOES S.A.;55189;outros
CONVERGIA;55132;outros
CIRDIA COMUNICACOES S/A;55229;outros
DESKTOP SIGMANET COMUNICACAO MULtimIDIA LTDA;55206;outros
DIALDATA TELECOMUNICACOES LTDA;55124;outros
DIGI SOLUCOES DE COMUNICACAO LTDA;55202;outros
DIGITAL DESIGN - SERVICOS DE INFORMATICA LTDA - DIPELNET;55103;outros
DIOGENES BAYDE IMPORTADORA E EXPORTADORA LTDA;55104;outros
DSLI;55136;outros
EAD - ENSINO A DISTANCIA LTDA;55197;outros
EASYTONE;55135;outros
EMBRATEL;55121;net
ENCANTO TELECOM COM. E SERV. EM TELECOMUNICACOES LTDA;55110;outros
ENGEVOX;55156;outros
ENSITE BRASIL TELECOMUNICACOES LTDA;55199;outros
EQUANT BRASIL LTDA;55214;outros
ESPAS TELECOMUNICACOES LTAD;55155;outros
ETML - EMPRESA DE TELEFONIA MULTIUSUARIO LTDA;55134;outros
FALKLAND TECNOLOGIA EM TELECOMUNICACOES LTDA;55191;outros
FIDELITY TELECOMUNICACOES E MULtimIDIA S.A.;55116;outros
FONAR TELECOM;55113;outros
G30 TELECOM SERVICOS DE TELECOMUNICACOES LTDA;55154;outros
GGNET TELECOMUNICACOES LTDA;55221;outros
GLOBAL CROSSING COMUNICACOES DO BRASIL LTDA.;55145;outros
GLOBAL OSI BRASIL TELECOMUNICACOES E CONECTIVIDADE LTDA;55108;outros
GLOBAL TELECOM EIRELI;55228;outros
GLOBAL VILLAGE TELECOM;55125;gvt
GOLDEN LINE TELECOM LTDA;55137;outros
GRANDI SISTEMAS DE INFORMACOES LTDA;55218;outros
GRUPO G1 TELECOMUNICACOES LTDA;55204;outros
GT GROUP INTERNATIONAL BRASIL TELECOMUNICACOES LTDA;55142;outros
GTI TELECOMUNICACOES LTDA;55120;outros
HELLO BRAZIL TELECOMUNICACOES LTDA;55163;outros
HIT TELECOMUNICACOES LTDA;55201;outros
